id,name,PLZ
5744,Ballaigues,1338
5745,Baulmes,1446
5747,Bofflens,1353
5748,Bretonnières,1329
5749,Chavornay,1373
5749,Chavornay,1374
5749,Chavornay,1435
5750,Les Clées,1356
5752,Croy,1322
5754,Juriens,1326
5756,Montcherand,1354
5757,Orbe,1350
5759,Premier,1324
5760,Rances,1439
5761,Romainmôtier-Envy,1323
5763,Valeyres-sous-Rances,1358
5764,Vallorbe,1337
5766,Vuiteboeuf,1443
5785,Corcelles-le-Jorat,1082
5790,Maracon,1613
5792,Montpreveyres,1081
5798,Ropraz,1088
5799,Servion,1077
5803,Vulliens,1084
5804,Jorat-Menthue,1058
5804,Jorat-Menthue,1061
5804,Jorat-Menthue,1062
5805,Oron,1078
5805,Oron,1610
5805,Oron,1612
5806,Jorat-Mézières,1076
5806,Jorat-Mézières,1083
5812,Champtauroz,1537
5813,Chevroux,1545
5817,Grandcour,1543
5822,Payerne,1530
5822,Payerne,1551
5827,Trey,1552
5828,Treytorrens (Payerne),1538
5830,Villarzel,1554
5830,Villarzel,1555
5831,Valbroye,1523
5831,Valbroye,1524
5831,Valbroye,1535
5831,Valbroye,1536
5841,Château-d'Oex,1659
5842,Rossinière,1658
5851,Allaman,1165
5852,Bursinel,1195
5853,Bursins,1183
5856,Essertines-sur-Rolle,1180
5856,Essertines-sur-Rolle,1185
5856,Essertines-sur-Rolle,1186
5857,Gilly,1182
5858,Luins,1184
5871,L'Abbaye,1342
5871,L'Abbaye,1344
5871,L'Abbaye,1346
5872,Le Chenit,1341
5872,Le Chenit,1347
5872,Le Chenit,1348
5873,Le Lieu,1343
5873,Le Lieu,1345
5882,Chardonne,1801
5882,Chardonne,1803
5882,Chardonne,1805
5883,Corseaux,1802
5884,Corsier-sur-Vevey,1804
5884,Corsier-sur-Vevey,1809
5886,Montreux,1807
5886,Montreux,1815
5886,Montreux,1816
5886,Montreux,1817
5886,Montreux,1820
5886,Montreux,1822
5886,Montreux,1823
5886,Montreux,1824
5886,Montreux,1832
5886,Montreux,1833
5889,La Tour-de-Peilz,1814
5890,Vevey,1800
5892,Blonay - Saint-Légier,1806
5902,Belmont-sur-Yverdon,1432
5903,Bioley-Magnoux,1407
5904,Chamblon,1436
5907,Chavannes-le-Chêne,1464
5909,Cheseaux-Noréaz,1400
5910,Cronay,1406
5911,Cuarny,1404
5912,Démoret,1415
5913,Donneloye,1408
5914,Ependes (VD),1434
5919,Mathod,1438
5922,Montagny-près-Yverdon,1442
5923,Oppens,1047
5924,Orges,1430
5925,Orzens,1413
5926,Pomy,1405
5928,Rovray,1463
5929,Suchy,1433
5930,Suscévaz,1437
5932,Ursins,1412
