ID,Municipality,MainCategory,SubCategory,TotalPower
2701,Basel,Hydroelectric power,Hydroelectric power,238.50
2701,Basel,Fossil fuel,Natural gas,23076.00
2702,Bettingen,Other renewable energies,Photovoltaic,821.17
2703,Riehen,Other renewable energies,Photovoltaic,5457.71
2761,Aesch (BL),Other renewable energies,Photovoltaic,8230.99
2761,Aesch (BL),Fossil fuel,Natural gas,1464.00
2761,Aesch (BL),Hydroelectric power,Hydroelectric power,6.00
2762,Allschwil,Other renewable energies,Photovoltaic,5871.27
2762,Allschwil,Fossil fuel,Natural gas,914.00
2763,Arlesheim,Other renewable energies,Photovoltaic,3435.73
2763,Arlesheim,Fossil fuel,Natural gas,4383.00
2765,Binningen,Other renewable energies,Photovoltaic,3272.99
2765,Binningen,Fossil fuel,Natural gas,468.00
2766,Birsfelden,Other renewable energies,Biomass,356.00
2766,Birsfelden,Other renewable energies,Photovoltaic,5089.46
2766,Birsfelden,Hydroelectric power,Hydroelectric power,90000.00
2767,Bottmingen,Other renewable energies,Photovoltaic,1382.19
2767,Bottmingen,Fossil fuel,Natural gas,172.00
2768,Ettingen,Other renewable energies,Photovoltaic,2374.65
2768,Ettingen,Fossil fuel,Natural gas,200.00
2769,Münchenstein,Other renewable energies,Photovoltaic,6443.51
2769,Münchenstein,Fossil fuel,Natural gas,2813.00
2769,Münchenstein,Hydroelectric power,Hydroelectric power,1890.00
2770,Muttenz,Other renewable energies,Photovoltaic,12741.56
2770,Muttenz,Fossil fuel,Natural gas,642.00
2771,Oberwil (BL),Other renewable energies,Photovoltaic,4181.86
2771,Oberwil (BL),Fossil fuel,Natural gas,192.00
2772,Pfeffingen,Other renewable energies,Photovoltaic,1080.15
2774,Schönenbuch,Other renewable energies,Photovoltaic,1441.18
2775,Therwil,Other renewable energies,Photovoltaic,3651.08
2775,Therwil,Fossil fuel,Natural gas,338.00
2781,Blauen,Other renewable energies,Photovoltaic,427.92
2782,Brislach,Other renewable energies,Photovoltaic,4178.31
2782,Brislach,Hydroelectric power,Hydroelectric power,385.00
2783,Burg im Leimental,Other renewable energies,Photovoltaic,74.92
2784,Dittingen,Other renewable energies,Photovoltaic,316.11
2785,Duggingen,Other renewable energies,Photovoltaic,1273.82
2786,Grellingen,Other renewable energies,Photovoltaic,473.29
2786,Grellingen,Hydroelectric power,Hydroelectric power,1775.00
2787,Laufen,Other renewable energies,Photovoltaic,541.48
2788,Liesberg,Other renewable energies,Photovoltaic,199.83
2789,Nenzlingen,Other renewable energies,Photovoltaic,371.12
2789,Nenzlingen,Hydroelectric power,Hydroelectric power,340.00
2791,Röschenz,Other renewable energies,Photovoltaic,1012.78
2793,Zwingen,Hydroelectric power,Hydroelectric power,679.00
2793,Zwingen,Other renewable energies,Photovoltaic,1254.68
2793,Zwingen,Fossil fuel,Natural gas,128.00
2821,Arisdorf,Other renewable energies,Photovoltaic,691.34
2822,Augst,Other renewable energies,Photovoltaic,5810.07
2822,Augst,Hydroelectric power,Hydroelectric power,35980.00
2823,Bubendorf,Other renewable energies,Biomass,250.00
2823,Bubendorf,Other renewable energies,Photovoltaic,10108.79
2823,Bubendorf,Fossil fuel,Natural gas,826.00
2824,Frenkendorf,Other renewable energies,Photovoltaic,1908.54
2825,Füllinsdorf,Other renewable energies,Biomass,346.00
2825,Füllinsdorf,Other renewable energies,Photovoltaic,2619.57
2826,Giebenach,Other renewable energies,Photovoltaic,655.27
2827,Hersberg,Other renewable energies,Photovoltaic,220.71
2828,Lausen,Other renewable energies,Photovoltaic,2669.08
